Timestamp,Cooling_Equipment_ID,Cooling_Power_kW,Cooling_Output_kWth,Supply_Temperature_C,Return_Temperature_C,Delta_T,Flow_Rate_LPM,Efficiency_COP,Status,Alarm_Code
2026-08-09 00:00:00,CHILLER-01,39.6,132.4,18.0,27.0,9.0,61.7,3.34,Active,
2026-08-09 00:00:00,CHILLER-02,39.3,132.4,17.9,27.4,9.5,70.5,3.37,Active,
2026-08-09 00:00:00,CHILLER-03,41.2,132.4,18.3,26.9,8.6,69.0,3.21,Active,
2026-08-09 00:15:00,CHILLER-01,36.0,129.9,18.1,27.6,9.5,62.2,3.61,Active,
2026-08-09 00:15:00,CHILLER-02,39.6,129.9,17.7,26.7,9.0,64.8,3.28,Active,
2026-08-09 00:15:00,CHILLER-03,40.6,129.9,18.0,26.5,8.5,61.3,3.2,Active,
2026-08-09 00:30:00,CHILLER-01,38.8,131.0,18.1,26.9,8.8,70.5,3.38,Active,
2026-08-09 00:30:00,CHILLER-02,35.4,131.0,18.0,26.8,8.8,68.7,3.7,Active,
2026-08-09 00:30:00,CHILLER-03,38.3,131.0,18.2,26.4,8.2,65.2,3.42,Active,
2026-08-09 00:45:00,CHILLER-01,34.6,130.4,17.9,27.0,9.1,61.4,3.77,Active,
2026-08-09 00:45:00,CHILLER-02,36.0,130.4,18.1,27.0,8.9,69.3,3.62,Active,
2026-08-09 00:45:00,CHILLER-03,37.6,130.4,18.0,27.4,9.4,62.6,3.47,Active,
2026-08-09 01:00:00,CHILLER-01,40.0,130.8,18.3,26.6,8.3,68.9,3.27,Active,
2026-08-09 01:00:00,CHILLER-02,40.1,130.8,18.0,27.3,9.3,69.6,3.26,Active,
2026-08-09 01:00:00,CHILLER-03,40.7,130.8,18.2,26.5,8.3,65.9,3.21,Active,
2026-08-09 01:15:00,CHILLER-01,38.9,129.3,17.8,26.5,8.7,65.2,3.32,Active,
2026-08-09 01:15:00,CHILLER-02,37.9,129.3,18.1,26.7,8.6,62.4,3.41,Active,
2026-08-09 01:15:00,CHILLER-03,38.0,129.3,18.1,27.6,9.5,64.1,3.4,Active,
2026-08-09 01:30:00,CHILLER-01,39.1,130.9,17.8,26.7,8.9,66.4,3.35,Active,
2026-08-09 01:30:00,CHILLER-02,39.4,130.9,18.2,27.3,9.1,69.4,3.32,Active,
2026-08-09 01:30:00,CHILLER-03,36.8,130.9,18.1,26.8,8.7,61.5,3.56,Active,
2026-08-09 01:45:00,CHILLER-01,34.9,128.8,18.1,26.7,8.6,63.7,3.69,Active,
2026-08-09 01:45:00,CHILLER-02,37.0,128.8,17.8,27.0,9.2,68.2,3.48,Active,
2026-08-09 01:45:00,CHILLER-03,38.3,128.8,18.1,27.1,9.0,63.7,3.36,Active,
2026-08-09 02:00:00,CHILLER-01,39.6,128.6,17.8,26.9,9.1,61.0,3.25,Active,
2026-08-09 02:00:00,CHILLER-02,40.1,128.6,18.2,26.7,8.5,65.8,3.21,Active,
2026-08-09 02:00:00,CHILLER-03,35.2,128.6,18.2,27.2,9.0,65.5,3.65,Active,
2026-08-09 02:15:00,CHILLER-01,38.7,129.0,17.8,26.5,8.7,64.8,3.33,Active,
2026-08-09 02:15:00,CHILLER-02,37.7,129.0,17.8,27.4,9.6,65.5,3.42,Active,
2026-08-09 02:15:00,CHILLER-03,38.6,129.0,17.9,26.9,9.0,64.6,3.34,Active,
2026-08-09 02:30:00,CHILLER-01,36.2,128.7,18.3,26.8,8.5,65.1,3.56,Active,
2026-08-09 02:30:00,CHILLER-02,34.3,128.7,18.2,27.1,8.9,62.6,3.75,Active,
2026-08-09 02:30:00,CHILLER-03,38.5,128.7,18.0,27.2,9.2,67.4,3.34,Active,
2026-08-09 02:45:00,CHILLER-01,35.2,128.2,18.1,27.0,8.9,64.8,3.64,Active,
2026-08-09 02:45:00,CHILLER-02,38.6,128.2,18.0,26.6,8.6,68.2,3.32,Active,
2026-08-09 02:45:00,CHILLER-03,38.6,128.2,17.9,27.0,9.1,68.7,3.32,Active,
2026-08-09 03:00:00,CHILLER-01,37.5,126.8,17.8,26.6,8.8,62.8,3.38,Active,
2026-08-09 03:00:00,CHILLER-02,35.6,126.8,18.0,26.7,8.7,64.3,3.56,Active,
2026-08-09 03:00:00,CHILLER-03,34.6,126.8,17.7,27.4,9.7,60.4,3.67,Active,
2026-08-09 03:15:00,CHILLER-01,34.9,128.8,17.9,26.5,8.6,61.1,3.69,Active,
2026-08-09 03:15:00,CHILLER-02,35.3,128.8,18.2,26.8,8.6,68.4,3.65,Active,
2026-08-09 03:15:00,CHILLER-03,38.4,128.8,18.1,26.5,8.4,64.9,3.35,Active,
2026-08-09 03:30:00,CHILLER-01,36.9,127.9,18.2,26.6,8.4,60.8,3.47,Active,
2026-08-09 03:30:00,CHILLER-02,36.3,127.9,18.0,26.7,8.7,65.9,3.52,Active,
2026-08-09 03:30:00,CHILLER-03,39.1,127.9,18.0,26.4,8.4,68.2,3.27,Active,
2026-08-09 03:45:00,CHILLER-01,39.0,127.2,18.1,27.6,9.5,65.6,3.26,Active,
2026-08-09 03:45:00,CHILLER-02,39.0,127.2,17.8,27.6,9.8,62.7,3.26,Active,
2026-08-09 03:45:00,CHILLER-03,34.7,127.2,17.8,27.3,9.5,63.8,3.67,Active,
2026-08-09 04:00:00,CHILLER-01,39.5,128.1,18.0,27.3,9.3,61.7,3.24,Active,
2026-08-09 04:00:00,CHILLER-02,34.0,128.1,17.9,27.1,9.2,62.9,3.77,Active,
2026-08-09 04:00:00,CHILLER-03,36.0,128.1,17.9,27.1,9.2,68.4,3.56,Active,
2026-08-09 04:15:00,CHILLER-01,40.5,129.9,18.1,27.4,9.3,65.5,3.21,Active,
2026-08-09 04:15:00,CHILLER-02,35.2,129.9,17.7,27.0,9.3,63.6,3.69,Active,
2026-08-09 04:15:00,CHILLER-03,35.7,129.9,17.9,26.6,8.7,60.6,3.64,Active,
2026-08-09 04:30:00,CHILLER-01,35.7,128.7,18.0,27.1,9.1,63.2,3.61,Active,
2026-08-09 04:30:00,CHILLER-02,34.0,128.7,18.1,27.3,9.2,63.0,3.78,Active,
2026-08-09 04:30:00,CHILLER-03,37.7,128.7,18.2,27.0,8.8,65.7,3.41,Active,
2026-08-09 04:45:00,CHILLER-01,35.3,128.3,18.3,27.4,9.1,68.9,3.63,Active,
2026-08-09 04:45:00,CHILLER-02,34.3,128.3,18.2,27.2,9.0,68.4,3.74,Active,
2026-08-09 04:45:00,CHILLER-03,36.9,128.3,18.0,27.0,9.0,67.2,3.48,Active,
2026-08-09 05:00:00,CHILLER-01,36.7,132.5,18.0,26.4,8.4,66.3,3.61,Active,
2026-08-09 05:00:00,CHILLER-02,41.1,132.5,18.1,27.5,9.4,65.2,3.22,Active,
2026-08-09 05:00:00,CHILLER-03,35.9,132.5,17.8,27.4,9.6,67.8,3.69,Active,
2026-08-09 05:15:00,CHILLER-01,39.1,129.1,18.2,27.5,9.3,61.4,3.3,Active,
2026-08-09 05:15:00,CHILLER-02,35.0,129.1,17.9,26.6,8.7,65.6,3.69,Active,
2026-08-09 05:15:00,CHILLER-03,40.0,129.1,18.0,27.4,9.4,64.8,3.23,Active,
2026-08-09 05:30:00,CHILLER-01,37.0,130.0,18.3,27.2,8.9,64.7,3.51,Active,
2026-08-09 05:30:00,CHILLER-02,38.7,130.0,17.7,26.5,8.8,65.9,3.36,Active,
2026-08-09 05:30:00,CHILLER-03,40.4,130.0,18.2,27.0,8.8,65.9,3.22,Active,
2026-08-09 05:45:00,CHILLER-01,35.1,130.4,18.2,27.0,8.8,65.7,3.71,Active,
2026-08-09 05:45:00,CHILLER-02,35.3,130.4,17.8,27.6,9.8,62.9,3.69,Active,
2026-08-09 05:45:00,CHILLER-03,37.4,130.4,17.9,27.4,9.5,63.8,3.49,Active,
2026-08-09 06:00:00,CHILLER-01,35.5,133.3,18.1,26.7,8.6,67.4,3.75,Active,
2026-08-09 06:00:00,CHILLER-02,39.9,133.3,18.0,26.5,8.5,69.9,3.34,Active,
2026-08-09 06:00:00,CHILLER-03,40.4,133.3,18.2,27.2,9.0,61.7,3.3,Active,
2026-08-09 06:15:00,CHILLER-01,41.1,132.7,18.0,26.9,8.9,62.7,3.23,Active,
2026-08-09 06:15:00,CHILLER-02,38.4,132.7,17.9,27.1,9.2,68.8,3.46,Active,
2026-08-09 06:15:00,CHILLER-03,38.4,132.7,17.8,27.6,9.8,69.6,3.46,Active,
2026-08-09 06:30:00,CHILLER-01,40.0,133.5,18.3,27.2,8.9,63.5,3.34,Active,
2026-08-09 06:30:00,CHILLER-02,41.7,133.5,17.8,27.4,9.6,68.7,3.2,Active,
2026-08-09 06:30:00,CHILLER-03,38.6,133.5,18.1,27.1,9.0,67.0,3.46,Active,
2026-08-09 06:45:00,CHILLER-01,37.3,134.4,18.1,26.5,8.4,64.0,3.6,Active,
2026-08-09 06:45:00,CHILLER-02,35.9,134.4,17.8,27.0,9.2,71.8,3.74,Active,
2026-08-09 06:45:00,CHILLER-03,38.6,134.4,18.2,27.1,8.9,62.9,3.48,Active,
2026-08-09 07:00:00,CHILLER-01,40.8,134.8,18.0,26.5,8.5,69.1,3.3,Active,
2026-08-09 07:00:00,CHILLER-02,35.8,134.8,18.3,26.7,8.4,63.4,3.77,Active,
2026-08-09 07:00:00,CHILLER-03,37.2,134.8,18.1,27.3,9.2,63.5,3.62,Active,
2026-08-09 07:15:00,CHILLER-01,40.5,136.2,18.0,26.6,8.6,71.8,3.36,Active,
2026-08-09 07:15:00,CHILLER-02,40.4,136.2,18.0,27.4,9.4,70.1,3.37,Active,
2026-08-09 07:15:00,CHILLER-03,41.8,136.2,18.0,26.7,8.7,70.3,3.26,Active,
2026-08-09 07:30:00,CHILLER-01,38.4,137.4,18.2,26.4,8.2,65.4,3.58,Active,
2026-08-09 07:30:00,CHILLER-02,39.7,137.4,18.3,27.3,9.0,73.2,3.46,Active,
2026-08-09 07:30:00,CHILLER-03,42.5,137.4,18.2,26.5,8.3,72.2,3.23,Active,
2026-08-09 07:45:00,CHILLER-01,41.4,137.7,18.2,26.8,8.6,68.8,3.33,Active,
2026-08-09 07:45:00,CHILLER-02,37.7,137.7,18.0,27.5,9.5,71.9,3.65,Active,
2026-08-09 07:45:00,CHILLER-03,41.4,137.7,17.8,26.6,8.8,70.3,3.33,Active,
2026-08-09 08:00:00,CHILLER-01,41.2,139.1,18.3,27.5,9.2,68.9,3.38,Active,
2026-08-09 08:00:00,CHILLER-02,40.8,139.1,18.3,27.1,8.8,65.5,3.41,Active,
2026-08-09 08:00:00,CHILLER-03,40.3,139.1,17.9,27.4,9.5,64.9,3.45,Active,
2026-08-09 08:15:00,CHILLER-01,39.9,140.4,18.1,27.6,9.5,72.1,3.52,Active,
2026-08-09 08:15:00,CHILLER-02,38.7,140.4,17.9,26.9,9.0,71.3,3.63,Active,
2026-08-09 08:15:00,CHILLER-03,38.3,140.4,18.1,27.1,9.0,74.6,3.67,Active,
2026-08-09 08:30:00,CHILLER-01,39.5,140.7,17.9,27.6,9.7,71.3,3.56,Active,
2026-08-09 08:30:00,CHILLER-02,37.6,140.7,17.7,26.6,8.9,73.9,3.74,Active,
2026-08-09 08:30:00,CHILLER-03,37.6,140.7,17.9,27.6,9.7,68.3,3.74,Active,
2026-08-09 08:45:00,CHILLER-01,39.6,142.7,17.8,27.0,9.2,69.9,3.6,Active,
2026-08-09 08:45:00,CHILLER-02,40.8,142.7,18.0,27.0,9.0,67.7,3.5,Active,
2026-08-09 08:45:00,CHILLER-03,37.7,142.7,18.2,27.2,9.0,68.8,3.79,Active,
2026-08-09 09:00:00,CHILLER-01,42.9,143.4,17.9,27.3,9.4,67.4,3.34,Active,
2026-08-09 09:00:00,CHILLER-02,44.4,143.4,17.7,27.6,9.9,74.0,3.23,Active,
2026-08-09 09:00:00,CHILLER-03,39.9,143.4,18.2,26.5,8.3,67.8,3.59,Active,
2026-08-09 09:15:00,CHILLER-01,44.3,143.9,17.7,27.6,9.9,71.3,3.25,Active,
2026-08-09 09:15:00,CHILLER-02,38.2,143.9,18.1,27.5,9.4,76.9,3.77,Active,
2026-08-09 09:15:00,CHILLER-03,38.2,143.9,18.0,27.4,9.4,75.7,3.77,Active,
2026-08-09 09:30:00,CHILLER-01,40.6,146.1,18.0,27.0,9.0,71.6,3.6,Active,
2026-08-09 09:30:00,CHILLER-02,39.0,146.1,18.1,27.0,8.9,68.1,3.75,Active,
