Timestamp,MeterID,Power_kW,Voltage,Current,PowerFactor,Frequency,Status
2026-08-09 00:00:00,MTR-UTILITY-01,500.7,399.9,1298.8,0.964,49.99,Active
2026-08-09 00:15:00,MTR-UTILITY-01,485.3,399.2,1254.6,0.969,50.05,Active
2026-08-09 00:30:00,MTR-UTILITY-01,488.3,399.0,1288.2,0.95,49.97,Active
2026-08-09 00:45:00,MTR-UTILITY-01,483.8,400.8,1248.3,0.967,50.05,Active
2026-08-09 01:00:00,MTR-UTILITY-01,494.7,398.3,1304.7,0.952,50.02,Active
2026-08-09 01:15:00,MTR-UTILITY-01,482.1,398.2,1257.2,0.963,49.97,Active
2026-08-09 01:30:00,MTR-UTILITY-01,488.5,400.0,1284.2,0.951,50.04,Active
2026-08-09 01:45:00,MTR-UTILITY-01,479.3,398.1,1247.6,0.965,49.96,Active
2026-08-09 02:00:00,MTR-UTILITY-01,481.1,400.8,1242.6,0.966,49.95,Active
2026-08-09 02:15:00,MTR-UTILITY-01,483.3,401.3,1245.4,0.967,50.01,Active
2026-08-09 02:30:00,MTR-UTILITY-01,477.1,399.8,1231.5,0.969,50.02,Active
2026-08-09 02:45:00,MTR-UTILITY-01,479.4,400.5,1252.1,0.956,50.01,Active
2026-08-09 03:00:00,MTR-UTILITY-01,472.4,399.5,1220.3,0.969,49.99,Active
2026-08-09 03:15:00,MTR-UTILITY-01,476.4,400.1,1237.7,0.962,50.01,Active
2026-08-09 03:30:00,MTR-UTILITY-01,480.6,401.5,1253.4,0.955,49.97,Active
2026-08-09 03:45:00,MTR-UTILITY-01,476.8,401.3,1246.7,0.953,50.02,Active
2026-08-09 04:00:00,MTR-UTILITY-01,476.5,398.5,1252.1,0.955,49.96,Active
2026-08-09 04:15:00,MTR-UTILITY-01,482.8,401.5,1261.8,0.953,50.01,Active
2026-08-09 04:30:00,MTR-UTILITY-01,474.6,400.6,1239.2,0.956,49.95,Active
2026-08-09 04:45:00,MTR-UTILITY-01,472.6,400.4,1224.4,0.964,49.98,Active
2026-08-09 05:00:00,MTR-UTILITY-01,491.9,402.0,1266.7,0.966,49.96,Active
2026-08-09 05:15:00,MTR-UTILITY-01,483.9,398.6,1262.0,0.962,50.03,Active
2026-08-09 05:30:00,MTR-UTILITY-01,489.9,399.4,1264.5,0.97,50.01,Active
2026-08-09 05:45:00,MTR-UTILITY-01,481.4,400.4,1240.8,0.969,50.02,Active
2026-08-09 06:00:00,MTR-UTILITY-01,495.1,401.5,1293.9,0.953,49.96,Active
2026-08-09 06:15:00,MTR-UTILITY-01,497.3,402.0,1278.0,0.968,49.98,Active
2026-08-09 06:30:00,MTR-UTILITY-01,504.2,399.0,1317.7,0.959,50.02,Active
2026-08-09 06:45:00,MTR-UTILITY-01,494.9,398.9,1281.7,0.968,49.96,Active
2026-08-09 07:00:00,MTR-UTILITY-01,499.8,399.6,1297.5,0.964,50.0,Active
2026-08-09 07:15:00,MTR-UTILITY-01,516.0,400.4,1331.3,0.968,49.98,Active
2026-08-09 07:30:00,MTR-UTILITY-01,513.1,400.4,1348.9,0.95,50.05,Active
2026-08-09 07:45:00,MTR-UTILITY-01,517.3,399.7,1348.1,0.96,49.99,Active
2026-08-09 08:00:00,MTR-UTILITY-01,521.9,401.3,1351.9,0.962,49.99,Active
2026-08-09 08:15:00,MTR-UTILITY-01,519.0,400.2,1342.5,0.966,50.03,Active
2026-08-09 08:30:00,MTR-UTILITY-01,518.4,400.1,1337.1,0.969,49.99,Active
2026-08-09 08:45:00,MTR-UTILITY-01,530.9,400.6,1386.3,0.956,49.97,Active
2026-08-09 09:00:00,MTR-UTILITY-01,537.9,399.5,1388.1,0.97,49.96,Active
2026-08-09 09:15:00,MTR-UTILITY-01,532.6,400.6,1398.0,0.951,50.04,Active
2026-08-09 09:30:00,MTR-UTILITY-01,538.7,401.7,1388.3,0.966,49.95,Active
2026-08-09 09:45:00,MTR-UTILITY-01,536.4,400.3,1403.1,0.955,49.99,Active
2026-08-09 10:00:00,MTR-UTILITY-01,548.6,398.2,1430.6,0.963,49.97,Active
2026-08-09 10:15:00,MTR-UTILITY-01,556.2,400.4,1448.5,0.959,49.98,Active
2026-08-09 10:30:00,MTR-UTILITY-01,551.3,400.6,1444.1,0.953,50.02,Active
2026-08-09 10:45:00,MTR-UTILITY-01,572.0,399.3,1506.3,0.951,50.01,Active
2026-08-09 11:00:00,MTR-UTILITY-01,567.1,400.9,1461.3,0.968,50.03,Active
2026-08-09 11:15:00,MTR-UTILITY-01,567.0,401.4,1472.9,0.959,49.98,Active
2026-08-09 11:30:00,MTR-UTILITY-01,574.3,399.1,1503.6,0.957,49.98,Active
2026-08-09 11:45:00,MTR-UTILITY-01,572.6,399.0,1505.9,0.953,50.0,Active
2026-08-09 12:00:00,MTR-UTILITY-01,571.8,401.9,1496.0,0.951,50.04,Active
2026-08-09 12:15:00,MTR-UTILITY-01,582.0,398.5,1511.9,0.966,50.05,Active
2026-08-09 12:30:00,MTR-UTILITY-01,589.3,399.6,1545.8,0.954,50.02,Active
2026-08-09 12:45:00,MTR-UTILITY-01,587.8,401.4,1528.6,0.958,50.02,Active
2026-08-09 13:00:00,MTR-UTILITY-01,588.0,400.2,1527.3,0.962,50.04,Active
2026-08-09 13:15:00,MTR-UTILITY-01,584.7,399.7,1538.2,0.951,49.97,Active
2026-08-09 13:30:00,MTR-UTILITY-01,594.2,401.1,1538.3,0.963,50.02,Active
2026-08-09 13:45:00,MTR-UTILITY-01,590.8,400.8,1545.1,0.954,50.02,Active
2026-08-09 14:00:00,MTR-UTILITY-01,604.4,398.7,1566.0,0.968,50.0,Active
2026-08-09 14:15:00,MTR-UTILITY-01,587.5,398.5,1534.1,0.961,50.01,Active
2026-08-09 14:30:00,MTR-UTILITY-01,594.3,398.9,1537.5,0.969,50.03,Active
2026-08-09 14:45:00,MTR-UTILITY-01,601.0,401.7,1571.6,0.952,50.04,Active
2026-08-09 15:00:00,MTR-UTILITY-01,595.8,400.1,1554.4,0.958,50.02,Active
2026-08-09 15:15:00,MTR-UTILITY-01,598.2,400.7,1558.3,0.958,49.99,Active
2026-08-09 15:30:00,MTR-UTILITY-01,590.5,398.8,1531.2,0.967,49.98,Active
2026-08-09 15:45:00,MTR-UTILITY-01,597.3,398.9,1551.7,0.965,49.97,Active
2026-08-09 16:00:00,MTR-UTILITY-01,590.2,400.7,1527.9,0.964,49.98,Active
2026-08-09 16:15:00,MTR-UTILITY-01,598.0,400.3,1565.9,0.954,50.01,Active
2026-08-09 16:30:00,MTR-UTILITY-01,592.5,400.7,1550.0,0.954,50.03,Active
2026-08-09 16:45:00,MTR-UTILITY-01,590.9,400.7,1520.3,0.97,50.02,Active
2026-08-09 17:00:00,MTR-UTILITY-01,586.3,400.6,1526.1,0.959,50.02,Active
2026-08-09 17:15:00,MTR-UTILITY-01,583.4,401.0,1503.0,0.968,50.01,Active
2026-08-09 17:30:00,MTR-UTILITY-01,577.2,399.2,1503.0,0.962,50.04,Active
2026-08-09 17:45:00,MTR-UTILITY-01,574.1,398.9,1488.3,0.967,50.01,Active
2026-08-09 18:00:00,MTR-UTILITY-01,570.2,400.4,1475.7,0.965,50.0,Active
2026-08-09 18:15:00,MTR-UTILITY-01,560.7,399.3,1458.2,0.963,49.97,Active
2026-08-09 18:30:00,MTR-UTILITY-01,581.8,400.8,1502.7,0.966,49.95,Active
2026-08-09 18:45:00,MTR-UTILITY-01,578.9,399.0,1503.5,0.965,50.01,Active
2026-08-09 19:00:00,MTR-UTILITY-01,560.7,400.1,1470.5,0.953,49.96,Active
2026-08-09 19:15:00,MTR-UTILITY-01,565.9,400.7,1480.4,0.954,50.01,Active
2026-08-09 19:30:00,MTR-UTILITY-01,545.8,400.9,1422.6,0.957,49.99,Active
2026-08-09 19:45:00,MTR-UTILITY-01,552.4,398.5,1435.0,0.966,50.01,Active
2026-08-09 20:00:00,MTR-UTILITY-01,562.8,400.3,1470.7,0.956,50.04,Active
2026-08-09 20:15:00,MTR-UTILITY-01,538.0,399.5,1389.8,0.969,50.04,Active
2026-08-09 20:30:00,MTR-UTILITY-01,546.9,401.1,1426.3,0.956,49.96,Active
2026-08-09 20:45:00,MTR-UTILITY-01,541.9,400.9,1408.0,0.96,50.02,Active
2026-08-09 21:00:00,MTR-UTILITY-01,537.9,399.8,1389.9,0.968,49.99,Active
2026-08-09 21:15:00,MTR-UTILITY-01,525.7,400.8,1352.2,0.97,49.96,Active
2026-08-09 21:30:00,MTR-UTILITY-01,528.1,399.6,1365.3,0.968,49.97,Active
2026-08-09 21:45:00,MTR-UTILITY-01,529.5,401.0,1387.0,0.952,50.03,Active
2026-08-09 22:00:00,MTR-UTILITY-01,522.4,400.0,1367.5,0.955,50.0,Active
2026-08-09 22:15:00,MTR-UTILITY-01,515.8,398.8,1334.8,0.969,50.04,Active
2026-08-09 22:30:00,MTR-UTILITY-01,498.1,398.4,1306.4,0.957,50.03,Active
2026-08-09 22:45:00,MTR-UTILITY-01,506.9,400.2,1327.7,0.954,49.98,Active
2026-08-09 23:00:00,MTR-UTILITY-01,513.5,399.5,1351.6,0.951,49.99,Active
2026-08-09 23:15:00,MTR-UTILITY-01,504.1,402.0,1307.6,0.959,50.01,Active
2026-08-09 23:30:00,MTR-UTILITY-01,502.2,398.7,1309.3,0.962,50.0,Active
