Timestamp,IT_Thermal_Load_kWth,UPS_Thermal_Load_kWth,Power_Distribution_Thermal_Load_kWth,Lighting_Thermal_Load_kWth,People_Thermal_Load_kWth,Total_Thermal_Load_kWth
2026-08-09 00:00:00,337.29999999999995,40.9,12.7,5.73,0.6,397.2
2026-08-09 00:15:00,330.29999999999995,40.5,12.6,5.73,0.6,389.7
2026-08-09 00:30:00,333.2,40.7,12.7,5.73,0.6,392.9
2026-08-09 00:45:00,331.6,40.6,12.6,5.73,0.6,391.1
2026-08-09 01:00:00,332.7,40.6,12.7,5.73,0.6,392.3
2026-08-09 01:15:00,328.70000000000005,40.4,12.6,5.73,0.6,388.0
2026-08-09 01:30:00,333.1,40.7,12.7,5.73,0.6,392.8
2026-08-09 01:45:00,327.20000000000005,40.4,12.5,5.73,0.6,386.4
2026-08-09 02:00:00,326.7,40.3,12.5,5.73,0.6,385.8
2026-08-09 02:15:00,327.6,40.4,12.6,5.73,0.6,386.9
2026-08-09 02:30:00,326.9,40.3,12.5,5.73,0.6,386.0
2026-08-09 02:45:00,325.6,40.3,12.5,5.73,0.6,384.7
2026-08-09 03:00:00,321.5,40.1,12.4,5.73,0.6,380.3
2026-08-09 03:15:00,327.2,40.4,12.5,5.73,0.6,386.4
2026-08-09 03:30:00,324.79999999999995,40.2,12.5,5.73,0.6,383.8
2026-08-09 03:45:00,322.7,40.1,12.5,5.73,0.6,381.6
2026-08-09 04:00:00,325.3,40.3,12.5,5.73,0.6,384.4
2026-08-09 04:15:00,330.29999999999995,40.5,12.6,5.73,0.6,389.7
2026-08-09 04:30:00,326.9,40.3,12.5,5.73,0.6,386.0
2026-08-09 04:45:00,325.7,40.3,12.5,5.73,0.6,384.8
2026-08-09 05:00:00,337.5,40.9,12.8,5.73,0.6,397.5
2026-08-09 05:15:00,327.9,40.4,12.6,5.73,0.6,387.2
2026-08-09 05:30:00,330.5,40.5,12.6,5.73,0.6,389.9
2026-08-09 05:45:00,331.7,40.6,12.6,5.73,0.6,391.2
2026-08-09 06:00:00,339.8,41.0,12.8,5.73,0.6,399.9
2026-08-09 06:15:00,338.0,40.9,12.8,5.73,0.6,398.0
2026-08-09 06:30:00,340.4,41.0,12.8,5.73,0.6,400.5
2026-08-09 06:45:00,342.9,41.1,12.9,5.73,0.6,403.2
2026-08-09 07:00:00,344.1,41.2,12.9,5.73,0.6,404.5
2026-08-09 07:15:00,347.9,41.4,13.0,5.73,0.6,408.6
2026-08-09 07:30:00,351.2,41.6,13.0,5.73,0.6,412.1
